"1","ตอนนี้เป็นเวลาเท่าไร","2019-11-16 00:44:09"
"2","วันนี้วันที่เท่าไร","2019-11-16 00:44:09"
"3","ตอนนี้เวลาเท่าไรนะ","2019-11-16 00:44:09"
"4","ตอนนี้เพลาเท่าไร","2019-11-16 00:44:09"
"5","ตอนนี้กี่โมงแล้ว","2019-11-16 00:44:09"
"6","ตอนนี้จักโมงแล้ว","2019-11-16 00:44:09"
"7","กี่โมงกี่ยามแล้ว","2019-11-20 22:03:11"
"8","ตอนนี้เวลาเท่าไหร่แล้ว","2019-12-24 10:14:45"
"9","เพลาเท่าไรแล้ว","2019-12-24 10:15:17"
"10","ยามไหนแล้ว","2019-12-24 10:15:17"
"11","ขณะนี้เป็นเวลาเท่าไหร่","2019-12-24 12:46:28"
"12","กี่โมงแล้ว","2019-12-24 12:46:28"
"13","เวลาอะไรอ่ะตอนนี้","2019-12-24 15:05:28"
"14","อยากรู้ว่าตอนเวลานี้เท่าไรแล้ว","2019-12-25 18:58:08"
"15","ตอนนี้เวลาเท่าไรอ่ะ","2019-12-25 23:47:41"
"16","อยากรู้เวลาตอนนี้","2019-12-25 23:48:37"
"17","ตอนนี้เวลาเท่าไรล่ะ","2019-12-26 00:01:55"
"18","วันนี้วันที่เท่าไร","2019-12-26 00:01:55"
"19","ตอนนี้เวลาจั๊กโมงแล้ว","2019-12-26 00:01:55"
"20","อยากรู้เวลาตอนนี้เป็นอย่างไร","2019-12-26 00:07:37"
